"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","Class"
" -5.711630990","  5.80533436","  2.539435743"," -0.442862136","  6.373699302"," -3.6491576864","  0.303299645","-1.507426410","  1.321658602"," -1.163952445","  0.066524282"," -0.445273073","  2.542927371","-2.349786741","  1.0673570923"," -1.9679518465","  1.243383946"," -0.5838963951","  0.839034737"," -0.604101118","  3.396666891"," -3.3068081192"," 0.744460832","-3.341928818"," 4.804855158","-0.691822734","  0.127417653"," -4.268321952"," 1.777101979","-0.215189849","-0.3119343922"," 0.6909073011"," 1.727161584","-0.854898718","-2.4447467e+00"," 2.804970421","-4.6840070390","-0.3714395198","-0.1773641790","-1.695929800","-2.1140645834"," 4.0966655157"," 3.487789592"," 0.5859207358","-4.5300773405"," 6.525013517"," 0.7336058807"," 1.4948864748","-0.9609530172","-3.426518131","-0.500180780","-2.705128359"," 4.060086742"," 1.2001991726"," 1.12636595493","-4.5885475057","-0.697489771","-1.093365974"," 1.3398116069"," 2.560893270"," 2.374959976"," 0.7257000740"," 2.99892321344","-1.6620560959","-0.025557335","-0.4617528380","-0.7167611566","-0.485196752"," 0.5662462634"," 0.5250787304"," 0.5654372644"," 0.2378763162"," 2.946088080","-0.245214911","-1.27001119308","-0.9667131891","-0.4570583226"," 0.517277008"," 0.1324590498"," 0.1304809601"," 0.2611835899"," 0.2051656677"," 0.068364536"," 0.4261925861","-0.6590781871","-0.03872574586","-0.6367394060"," 0.2918071895"," 1.0534910191"," 0.0319529256"," 0.00672255228"," 0.0657148998"," 0.0989498473","-0.12575957618","-0.06224717928","-0.02034666785"," 0.1849699375","-0.1757435920"," 0.1110517579"," 1.2357736e-15","normal"
" -5.894969864","  5.50437275","  0.055174746","  0.510922227","  3.054324453","  0.1620551756"," -1.045272250"," 1.908331394","  3.504579608"," -0.178689559","  0.767051461"," -0.243313972"," -2.812168247"," 0.709229817","  0.7656914151"," -1.4780667149","  0.991968949","  0.5716776537","  0.558578587"," -0.466286667"," -0.081000415"," -1.0695493947","-1.392364299","-1.499183100","-0.321049351","-0.344094072"," -1.072761751"," -0.466658534","-0.527186388"," 0.567957174","-0.5276513905"," 0.4006052088"," 0.738742849","-0.492235948"," 9.5385756e-02","-0.037241509"," 0.4619999299","-1.1695335195","-0.1948925997"," 0.028514296","-0.8033125974","-0.6644267724","-0.927014784","-1.9806534749"," 1.1628698295","-0.390213238","-0.7806150963","-1.5106192324","-1.3166719291"," 1.801939581","-0.020666564"," 0.283878758","-0.620827830"," 0.7824336720","-1.16945916974","-0.6517458859","-0.686417628","-0.178292813"," 0.8527082629"," 0.799565228"," 0.761741108","-0.9124414174","-0.04199272469"," 0.6937184176","-1.005273432"," 0.4049768420","-0.0088426114","-0.310809649","-0.2805969019"," 0.0045769943"," 0.6033310146"," 0.1390010388","-0.365386996","-0.802590584"," 0.80880062810","-1.2103775987","-0.9418120914"," 0.050952960","-2.1327456889","-0.4265088001","-0.2161483420"," 0.7623477790"," 0.256676881"," 1.0513096038"," 1.0197721076"," 0.89338753840"," 0.6354751286"," 0.1646496590"," 0.4014797361"," 0.1724615021"," 0.60696756575"," 2.4327667264","-2.5816119990"," 0.54994746475","-2.00362023538","-1.40455706377","-0.7649681284","-4.6832716912"," 1.6071787799"," 3.0283935e-15","normal"
" -4.133830425","  1.37798321"," -0.844633190","  0.683893206","  3.544035580","  0.6840769747"," -0.093850806"," 2.996142451","  0.777861393"," -0.573970852"," -0.012338518","  0.015129398"," -3.974207683"," 4.538829684","  0.1895899568","  1.3678696710","  0.981256620","  2.3468184521","  1.118718165","  0.908286048"," -3.410863705","  0.5983544719","-1.687714699","-1.086302586","-1.618762206"," 0.400563324"," -1.837699513","  0.160681625","-0.601940755","-1.683700165","-2.0056108778"," 1.5959464932"," 0.572517605"," 0.486731273"," 1.6722093e+00"," 1.738774311"," 2.2709152844"," 1.6967902467"," 0.4455924753"," 1.701442177"," 0.4542333271","-0.0052267406"," 1.881188158","-0.6162793908"," 0.8424652828"," 0.737694096","-0.3995595760","-1.3589651405","-0.5388491220","-0.638376964"," 1.791038262","-3.028023657"," 2.281317404"," 0.2761720187","-0.58370021435"," 1.2143307562"," 0.743081726"," 0.039473681","-0.6142062421"," 0.330186049"," 1.312183319"," 2.7578703507","-3.04313250556","-1.4377116132","-0.976107734"," 0.6855249271"," 0.8489981552"," 1.874857487"," 6.5847750087","-0.4806289561","-1.7450112836","-1.6966874162"," 0.085802998"," 0.349574978"," 3.45772361898","-2.7692496228"," 1.8120473859"," 0.365592073","-0.6299130369","-0.0650030670","-0.1063880982"," 0.8045352241","-0.282946969","-1.4737102678","-2.1166958777"," 2.29107402875","-0.6048723980"," 0.2559990775"," 0.3127361229","-0.4527023123"," 0.83323768469","-0.1114950380","-0.4031888129"," 0.07304020056"," 0.02087766528"," 0.73921569900"," 0.9130781923"," 0.4379210876"," 0.3690619820"," 2.4611389e-15","normal"
" -6.618265137"," -0.50789780"," -1.454059100","  0.240640925","  0.486545273","  1.4199485388"," -1.251910955"," 0.451242757","  2.411021028","  0.318821251","  0.512595477"," -0.897160180"," -1.661009494"," 0.149022990","  0.2472670332"," -1.0907825821","  0.101447136","  0.3245512452","  0.509933525","  0.090649320"," -0.251138303"," -0.7111628033"," 0.837872444"," 1.417355884","-1.844082571"," 0.418424509","  0.331241605","  0.136378851"," 0.455171175","-1.120895578"," 2.2716249114","-1.8063753481","-0.443924352"," 0.827805397","-1.0365550e+00","-0.946969418"," 0.2149068595"," 0.5719946896","-0.5062987379"," 1.374558091","-1.8414264290","-1.5379331406","-1.922749927","-1.7967648879"," 0.6143799554"," 2.091595867"," 2.2678358482"," 2.0041190031"," 1.0064692970"," 3.538385398","-1.442343713","-0.204585166","-0.890154172","-0.0883139707"," 0.02752921621","-0.2529705602"," 0.052307839","-0.989338737","-1.3673108505","-0.254592054"," 1.550450588"," 0.8966388584","-0.39337701300"," 2.8705708118","-1.260540280","-1.2438490395"," 1.4598569862","-0.615607089","-0.4304268696"," 0.4258270232","-2.3365566018"," 0.7056510576"," 2.199529184"," 1.301164135","-3.68782916259","-0.5655087613","-0.1569888141"," 0.203801375"," 1.2390864751"," 3.0798252839"," 2.1451020847"," 1.2615909061"," 1.431014825","-1.4324868627","-2.2317437853"," 1.16114894021","-1.6065779778","-1.2990161792","-3.2347092285","-0.9054461197","-1.57706020386","-0.5425915397","-1.9883081320","-0.03713538569"," 0.61715849465"," 0.88999157667"," 0.1113843191","-0.7847047603","-0.2083126996","-3.4577376e-15","normal"
" -9.351978500","-35.64096281","-20.994513368","  2.160869502","-23.290773481","  8.3957829584"," -4.789933366","-6.528950793","  6.807670014"," -8.877220770"," -0.082981219","  3.564838988"," 12.463692150","-4.764116389","  8.7511994671"," -7.9835384523","  3.497614267","  2.0547554559","  0.187331695"," -2.289319383","  1.281697819","  0.5495074497","-4.946159196","-3.066842182"," 2.852882253"," 1.197322383"," -6.224348474"," -1.394645791","-0.577805851","-0.149628729","-1.0386532616"," 2.7892116994"," 1.916918446"," 0.139281124"," 2.1861125e+00","-0.238950675"," 0.5122672297"," 0.1489648373"," 0.4603128051"," 0.467833292","-0.5154550072"," 0.1803042163"," 0.318365598"," 0.0094389497"," 0.8567956102"," 0.182117585","-0.6973046707","-0.4616464729"," 0.3337800817"," 0.407108159"," 0.797621373","-0.857751992"," 0.294791651","-0.0626605876","-0.73747644794"," 0.8058442210"," 0.120914913"," 0.433090359","-0.2916338229"," 0.003063896","-0.360704606","-0.1572293675"," 0.20249396620","-0.0219112434"," 0.122241196","-0.1076326383"," 0.2889402208","-0.187835841"," 0.0084700504"," 0.1853235559"," 0.3400694874","-0.0533847989"," 0.136652626"," 0.154548613","-0.22515162373","-0.1340163317","-0.1207846692","-0.114502588"," 0.2141674701"," 0.0235665573","-0.0050741439"," 0.1026427677"," 0.077152159","-0.0701826965","-0.1499915793","-0.03632671843","-0.1697728401"," 0.0279512318","-0.0807297414"," 0.1930183602"," 0.12499579306"," 0.0871368493","-0.0100859398","-0.04708163789"," 0.07510859741","-0.01739523984"," 0.0476384255","-0.0510005049","-0.0616621454","-3.7417985e-15","normal"
" -7.596931076"," -9.33132486"," -6.750801653","  2.293207488"," -4.353516520","  1.6815755011"," -0.958207536"," 0.958244583","  1.480116509","  0.075362955","  0.232311631","  0.158425389"," -3.904767398"," 2.179554754"," -0.8753658351","  1.5621694236","  1.023723418","  1.6735367224","  1.649788048","  0.856997763"," -1.905504800"," -0.9251178345"," 0.828546786","-0.419555054","-2.151466041","-0.988459552","  3.431898322"," -1.209468877","-0.730735467"," 1.221773284"," 0.3709059497","-1.4890483600","-1.088217995","-0.217303017"," 1.3933598e+00","-0.580871374"," 0.7583930587","-0.7557870131","-1.9370473722","-1.490337289","-0.0228249871"," 1.5826381268","-0.725245055","-1.4755578403","-1.1051017083"," 0.584225363","-2.9750079191"," 0.4481312553","-0.4516729409","-0.289798882","-2.063572755"," 0.091793962","-0.637354412"," 0.1875947829"," 4.16561643356","-0.4343598070"," 0.421498455"," 0.297582079"," 2.1147274889"," 0.386159656"," 0.785534455","-1.0576533651","-1.45596857719","-0.7477217166","-0.418210239","-0.9887578744","-0.5978090535","-2.740010661","-1.3175396916"," 1.3721727766","-0.3592928511"," 2.3436264080","-0.668325265","-1.917688587"," 1.77370603956"," 0.8769179020"," 0.8408150889","-0.568400499"," 1.6577133991"," 2.1682189513","-3.0038143246"," 0.5177023610","-0.379715602","-1.5618643306"," 0.4741010937"," 2.51341000300","-0.3962347820"," 3.5827057354"," 0.4407686861","-1.4221177227","-2.47777894115","-0.4302860669"," 0.2152694948"," 0.63702720756","-1.56715301176","-0.12499827938"," 0.3560266452"," 0.4667548283"," 0.0353138305"," 1.8752361e-15","normal"
" -3.575351071","  3.28003202","  8.408981786"," -1.098728218","  2.139690684","  0.0016630219"," -1.363038103"," 0.430661140","  2.009146661","  0.514929930"," -0.209604871"," -0.145608060","  0.869995977","-1.340091644","  1.1342728164"," -1.7031262223","  0.923029228"," -0.2084071192","  1.202771781"," -0.494540964","  2.051727932"," -1.6958153324","-0.238930876","-1.426701945"," 2.926537480","-0.719435665","  0.021699123"," -3.023746882","-0.792228656","-0.766854004","-2.0498226196","-0.0073310517"," 0.345109158","-0.765789682","-1.0183043e+00"," 2.910219094","-0.8433835408"," 0.3844751343","-0.1491479210","-0.447199509"," 0.4430258865"," 2.4938722075"," 1.016703846","-2.5123277557"," 1.3405376160"," 3.535071359"," 2.8016545852","-1.4345480252","-1.4470038930"," 0.963065740","-0.601950167","-2.805412540","-3.185215480","-0.1539398472","-1.69259087582","-0.6437627158"," 0.967337348"," 0.602989883"," 0.8664404213","-1.769479514","-4.203897365"," 2.8272200249","-2.60033258862","-1.4873901782"," 0.083392609","-0.2637621668","-1.3421818228"," 1.150991953","-1.5313530922","-1.3874776177","-0.1822219695"," 0.2530754055","-1.239470703"," 0.156439611"," 2.90869735413"," 3.4560701760"," 0.0289898961"," 0.237646433","-0.6954936705"," 1.5037526317","-0.1399182537"," 0.6113869863"," 1.858648223"," 2.7777147317"," 0.0156138053"," 0.69489087982"," 0.1650322338","-1.1375241257","-2.3441133330","-2.1280602272","-0.13042908490","-1.0097137283"," 1.3366944479"," 0.37920229770","-0.07210899550","-0.59952475897","-0.2007047594","-0.1000119091"," 0.0780574227"," 4.0462425e-16","normal"
" -6.368754472"," -1.61754215","  2.508961098","  0.117299206","  2.928069436"," -0.1720483215","  0.238115236"," 2.028659256"," -0.395508711","  1.102152430"," -0.654645932","  0.466943586"," -1.890941878"," 0.966671836"," -3.0717627748","  0.7697764783","  0.351874892"," -1.9826269804"," -0.686394825"," -0.307313641","  2.140937903"," -0.7715130683"," 0.618249029"," 1.479685154"," 2.866609578"," 1.043237932"," -3.261413303"," -0.559773450","-0.630401055","-0.334111858","-1.6950825892"," 1.6129662744","-2.096520848"," 0.815986039","-1.3096017e+00","-0.758577893"," 1.5020355597"," 0.7070284151"," 0.1678902689"," 0.693777380","-0.5948433917","-0.5540876166","-0.865974042","-1.3298634424"," 0.9731570863"," 0.613802635"," 0.9098711224","-1.7445053279"," 0.4445472497"," 1.372858470","-0.632398127"," 0.543427887"," 0.877193250","-0.3580476021","-2.29912150983","-0.8857686151","-1.801764264"," 1.036029307","-1.0910643752"," 2.582287200","-2.271827213","-0.3652890188"," 0.55473189504","-1.4133453422"," 2.776960935","-0.0086260361"," 0.9087781537","-2.369270143","-2.4523897831"," 1.4517411617","-1.3528527469"," 1.9957928227","-0.359464602"," 4.065783937","-0.60190662499","-0.7501160620"," 0.3485665576","-0.829047940","-4.1674194212"," 1.7774439221","-1.6432085683"," 0.1084311176","-1.620814809","-3.0787450006","-0.9832740330","-0.64215989844","-0.1790119693"," 0.6201517075"," 0.8622586049","-1.3967383479"," 2.28123780966"," 0.0299472163"," 1.1140342824"," 0.03893265459"," 0.15962074976","-0.36916702638"," 1.1824950702","-0.0901174716","-0.3226715460"," 6.1582683e-17","normal"
" -5.584089140"," -5.35875704"," -6.335215129","  1.883533037"," -2.908581006","  0.8243564961"," -2.306214985","-0.031823879","  2.608359268"," -0.783146917"," -0.832736314"," -1.802518752"," -3.979912926"," 2.156117020","  0.3609966042","  0.1137064649","  0.244593757","  2.0492431279","  0.383644210","  1.194461656"," -1.091817449"," -1.7384539136"," 1.546885864","-2.979697099","-6.357965695"," 0.560388183","  3.049739268"," -1.192332232"," 0.710496983"," 1.243991978","-0.1999126414","-2.3703334048","-1.556752001","-0.084285262","-1.0274011e+00"," 0.126214425","-0.1676063758"," 2.8664662222","-0.7701166580"," 4.508199958"," 1.4056472970","-0.7581819235"," 2.410447669","-2.4721245701"," 1.3208063747"," 0.576728446","-0.8821649335"," 1.4412531266","-1.8434888824","-3.254520217"," 1.567096847"," 1.990570553"," 0.748944396"," 2.0120370520","-0.58186581468"," 0.3914058235","-0.819677436","-2.489329737","-4.4781009779"," 2.374502737"," 2.155814921"," 1.1596026479","-1.42653930299","-0.0464966284","-0.656622530","-3.0697534783"," 1.7577762864","-1.572808853","-0.2660811294","-0.6727453704","-1.2264953389"," 0.5870765208"," 0.706510458","-0.422258215"," 1.44328136916"," 4.5800348556","-1.9750837827","-1.783307388"," 0.5876882166"," 0.2065900748"," 0.3125811502","-0.7322978682","-0.596623468"," 0.8602353318","-0.0953647748","-1.69857189117","-0.8206173839","-0.7701738745"," 0.7817153484"," 0.8911790273"," 1.80076880693"," 0.3131001368"," 0.4473357632","-0.21805052109","-0.09544522515","-0.33480940297"," 0.1598094515","-0.1595958441"," 0.1672531271"," 3.3302354e-15","normal"
" -8.089968282"," -4.39734879"," -4.337271193","  2.523828553","  1.867771855"," -0.8265064258"," -1.202406713"," 1.788011349","  0.076212524"," -0.787453855","  0.939261047","  0.649056808"," -5.055290366"," 4.143009450"," -1.3989007067","  0.9218304053","  1.391738138","  2.4464101373","  2.236733279","  1.945777211"," -4.027742643","  0.7664814723","-1.786276306","-1.069978709","-3.058021091","-1.978504409","  2.434360722","  1.181174621"," 0.827304193"," 0.574031463","-0.4102861067"," 0.7679068683"," 1.002808605"," 0.675822103"," 4.3523105e+00"," 4.155187377","-0.5229837220","-1.6711939243"," 0.2483610680","-1.906141949"," 0.2955208379"," 2.5125334432"," 3.619691467","-0.5635734989"," 3.0633329544"," 1.484276551"," 3.3333652423"," 4.0860976619"," 5.3261981893","-0.404054852","-2.210804831"," 1.811792481","-0.765293408"," 1.4967093161","-3.41307954525"," 2.7467552251"," 2.137459405"," 0.909016933"," 3.2345240714","-1.416600692","-0.511407089","-0.4389563640"," 1.75541903759"," 0.8346689844"," 2.677912633"," 1.0133167676"," 2.5158185240","-2.102965350","-1.2019617593","-1.6690229591"," 2.5584762480","-0.7153302918"," 1.670672107"," 0.105388846"," 1.09639310255","-0.5518032837"," 0.2122678306"," 0.739544297"," 0.4471993163"," 0.9241282983"," 1.2999790508","-1.2927666918"," 0.200761290"," 0.2277781223","-0.9669636025","-0.60121467538"," 0.1927854203"," 0.7718755480"," 1.0116656304","-0.4113901318"," 0.99510496652"," 0.4923659215","-0.3747515104"," 0.12084842900"," 0.00907548155"," 0.55212280703","-0.2669203168"," 0.0686962770","-0.0658258638"," 1.3055963e-15","normal"
