"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76","PC77","PC78","PC79","PC80","PC81","PC82","PC83","PC84","PC85","PC86","PC87","PC88","PC89","PC90","PC91","PC92","PC93","PC94","PC95","PC96","PC97","PC98","PC99","PC100","Class"
"-17.2273761070","-11.319260173","  5.47626502","  3.5305336104","  2.9664981768"," -1.55559444","  1.3761859124"," -1.0904128292","  0.6893281367"," -0.372699241"," -0.339296879"," 2.4014367363"," -0.936576697","  1.866019538"," -0.701255268"," 0.766356533"," -0.509368774","  1.2815485809"," -5.078346656","  7.390512277","-1.2909284340"," 2.655409158","-0.6427051916","  0.235694076","-4.461741042","  2.468983424"," -2.031804551","  2.3349611421","-1.956249629"," -8.4980049241"," 4.173159579"," 2.7948871839","-6.558879516","-7.301217786"," 0.348239872"," 1.702029127"," 3.769581831","-5.3672925792","-5.072587809","-6.6159783934"," 5.954001200"," 0.9550017042","-1.485163000","-0.735848803","-2.0746704612","-1.6678295546"," 2.288764878"," 2.209807901"," 2.1541152774","-0.403672990","-1.109558246","-1.9725557836"," 1.1686339615"," 1.653980362"," 1.896063572"," 1.8620721495","-0.0752783482","-0.0824447671","-0.052454799","-2.3271218137"," 0.040602967"," 0.098389970"," 0.282513869"," 0.6667789476"," 0.8437215404"," 0.2043757211"," 0.164801689","-0.844814637","-1.024590373","-1.9017155818"," 0.974566361"," 1.195572883"," 4.7738893e-02"," 0.5101123165"," 0.0383213267","-0.799624208","-0.412040584","-0.477980560","-8.8005532e-01"," 0.043408373"," 0.8506619403"," 0.943692574"," 0.63451258190","-0.43913214010","-0.3312996155","-0.6171741926","-0.1758289303"," 0.1462361528"," 0.1568065510"," 0.1306385514"," 0.1897658162","-0.27942247396","-0.3234624893"," 0.1773170033"," 0.1443991679","-0.3124073238"," 0.06968720687"," 0.00598696241","-0.0216856224","-2.0816682e-15","normal"
"  6.4224610642"," -2.219472493","  8.62342308","  1.2119208828","  1.5522506471","  0.99720857","  0.2971790510"," -0.6207420834","  1.0518326850","  0.792704396","  0.064562714","-0.4838966697"," -0.632694937","  0.322473973","  1.666865904"," 0.275000718"," -0.148902149"," -0.6692217530","  1.312646430","  0.923067915"," 0.7996412871","-0.328623987"," 1.0648029628","  2.415819664","-0.132656140"," -1.700787715"," -1.547903495","  0.3837243579","-0.116340641"," -0.8029673300","-1.525958943","-1.8723700560"," 0.468470748","-5.067233866"," 1.444932506"," 3.449240295"," 3.239225344","-2.2584125013"," 0.466238551","-0.8801610229","-2.663078960"," 1.5093077447","-0.477131049"," 2.364486281","-1.9864017330"," 2.7383965149","-2.707362576","-1.149144066","-2.2486328584"," 4.311294157"," 5.346720386"," 0.5315607313"," 4.4291106195","-2.465652409","-2.824668003","-1.6861605764"," 2.6984686913","-1.8959991945","-0.940470397","-4.6660358272","-1.264809905","-0.277647338","-1.292533799","-3.7511299763","-0.8581530133","-3.0568158118","-3.635238281","-1.313136456"," 2.527885459"," 0.3222429287"," 0.511301430","-2.418341527"," 2.5200676e+00","-1.8655161723"," 0.6926667613"," 1.142164684","-2.526006217"," 2.398999179"," 7.3445242e-01","-0.994182844"," 1.8517705654"," 0.035984040","-0.20225463663"," 0.67503173441"," 0.0943498366"," 1.1327121089","-0.7499891188"," 0.0877663669"," 0.5660979748"," 0.1539615392","-0.2677834276","-0.25050269645"," 0.3514720526","-0.0106572857"," 0.7007759920","-0.3707084049","-0.03871980931"," 0.17295953259"," 0.1805936407","-1.9788316e-15","normal"
"  3.1374770376"," -3.628903911","  8.58818873"," -5.1636063985","  0.5002416214","  1.40462718"," -1.1867023467"," -0.6320450607","  0.8411393809"," -0.121989836","  1.762797141"," 0.4439848520","  1.755311326","  1.014472674","  0.487055140"," 0.850327117"," -0.503214442"," -0.4674622411"," -1.299563373"," -0.347089622","-1.1194008741","-1.687471960"," 0.1298414698"," -2.010185857"," 1.703397581","  0.764139525","  0.720600499","  0.6032516071","-0.951974349"," -0.1302429707"," 0.861305941","-1.4782428144"," 0.059814283"," 1.909556107","-3.082825425","-0.743554410","-2.214027893","-1.7029096469","-1.871054519","-1.0167643372"," 0.595529074","-1.6649278090"," 0.730972906"," 3.243299998"," 0.3505526514","-1.0019220496"," 0.408459451"," 3.508577667"," 1.4455513719"," 0.742366339","-2.342733643"," 1.9416652024","-2.5358119374"," 2.437027947","-0.412041191","-2.4265767916","-0.8634327383"," 0.8531832402","-4.400430085","-2.3965004271"," 3.799433084"," 1.246732512","-1.744105822","-0.5626018279","-3.5929781763"," 1.4896654053","-2.216678549"," 0.537359278"," 1.809136116"," 1.4445400646"," 0.532152869","-2.564963307","-1.3536213e-01"," 2.2172273667"," 2.4809462239","-4.242517969","-1.597758647","-1.666075326"," 1.4092582e+00","-0.505740695"," 0.6546311262"," 0.223749459","-0.43735134125"," 1.77029202050","-1.8988369026"," 2.1661234801","-0.5807724831","-1.7882018261","-1.3646028146","-1.9485187286","-0.8462790769"," 1.64568409962","-0.2268373226","-0.9847250983","-1.6137959451","-0.4514776156"," 0.58169131204","-0.36560897222"," 0.5108132127","-1.3964524e-15","normal"
" 10.7814533045"," -0.584536984","  8.96237341","  6.0823076229","  2.6146373807"," -4.07400218","  2.4688586038"," -0.7598905800","  0.0786601429"," -0.018944005"," -0.262578368"," 0.3151270263"," -1.822453124"," -0.682511222","  1.104047020","-0.549977438","  0.760191125"," -0.3482282308"," -0.741807195"," -0.852028263"," 1.1499997715","-0.871241536","-0.5405822135","  0.420648171"," 0.262306258","  0.076406562","  0.570140389","  0.5361939723"," 0.238284267"," -0.6056572623","-0.436272501"," 0.3029443405"," 1.556019516","-0.974789111"," 0.571216687"," 1.350103918","-0.452493547"," 1.0478098475"," 1.007394373","-0.6958884744","-0.384913789","-0.3264203207"," 0.280762847","-0.383812514","-0.1226694999","-0.2026032598"," 0.142733247"," 0.092084586","-0.4870497923","-0.056629904","-0.449561628"," 0.0636876269","-0.0923614832"," 0.227975178"," 0.674729561","-1.0145341024"," 0.2136227147"," 0.3416408730"," 0.230232031"," 0.4278688776","-0.643482229"," 0.248346702","-0.855794606"," 0.9627045392","-0.6216051385"," 1.0355583847"," 0.910805319","-0.542722813","-0.444888748"," 0.6158360489","-1.178457991"," 1.242810570","-3.8234365e-01"," 0.0966748786"," 0.0991991648","-0.394126358"," 0.321953618"," 0.522250396","-1.0883674e-01","-0.868148166"," 0.5795058218"," 0.285885873"," 0.15215836394","-0.32478880194","-0.0382312080"," 1.1040642716","-2.0290784884","-0.3583975141"," 0.5654906001","-1.6957611636"," 0.6030376083","-0.08584203734"," 2.2653348874"," 7.4840712054","-2.3910347350","-0.9345365334","-0.47193775255"," 0.73917798378"," 0.2297623321","-3.0904099e-15","normal"
" -0.1871296804"," -2.299933314","  4.52573811"," -6.8012404133","  0.0404523171","  2.60850641","  0.1413639516"," -0.0780932222","  0.4681338868"," -0.132480243","  0.016029955","-2.8686026797"," -0.023244279","  2.041056400","  0.469562394","-0.720484891"," -0.915816626","  0.1095278193","  1.137682948"," -1.284273779"," 1.3148307080"," 0.811758124","-2.3784342490"," -0.010574380","-1.398682028","  3.098032938","  1.024264642"," -1.3706669317"," 1.155862612"," -1.1379111731"," 0.525721167","-3.1536628073"," 0.899130021"," 2.942565576"," 0.924880314","-2.362568969","-3.990789245"," 5.0245454529"," 0.717562191","-5.4253392088"," 1.561645516","-6.8689569283","-5.032218134","-2.478250329"," 0.1603783886","-7.4163264985","-3.231423261","-3.532745478"," 5.3890134822","-3.027484726","-0.331067949","-3.2418091329"," 3.6926399703","-2.423174261","-1.060428606","-0.8959764985"," 4.5127186837","-1.1075755971","-2.355067112","-1.8362097978","-1.968757175"," 1.643700510"," 2.729677251","-1.8069277189"," 0.4463956925","-0.9840389127"," 0.559913262","-1.658067990"," 0.551877496"," 0.6689183717","-0.535850980","-0.277244014","-5.8456257e-01"," 0.3481561333"," 0.2843775076"," 0.444688546"," 0.188734756","-0.513874747"," 4.5595440e-01","-0.698199296"," 0.0243596770","-0.655245569","-0.13879648650","-0.53068440752"," 0.2290263987","-0.2590675924","-0.2329890209"," 0.0934883445","-0.9500775292","-0.1696647941","-0.0566396231"," 0.18995676224"," 0.2195320005","-0.2644760239","-0.2102292017","-0.0379202068","-0.21346115644"," 0.10555112521"," 0.3115494851"," 6.9174809e-16","normal"
"  0.2828532211"," -3.557384258","  6.08891555"," -4.7607731812","  1.0264442562","  2.52412041"," -2.4172195270","  0.1202521764","  1.1435859038","  2.999927790","  0.100177843","-0.4028478911","  1.560415615"," -1.954275672","  1.693772676","-1.305483371"," -1.586187899","  0.6569938412","  1.054483612"," -1.562141068","-0.2381962087","-0.640163515","-0.6010641517"," -0.139815509"," 0.512918744"," -1.185612723","  2.543128602","  0.2688264481"," 2.156167277","  2.3573146690","-0.459862383"," 5.2961823425","-1.378825051"," 0.360917551","-1.305961020","-2.881448539"," 2.768018334","-0.3644112616","-0.589171257","-1.8342352505"," 0.996902478"," 0.4619349400","-2.583546687"," 1.737796238","-1.1216485927"," 1.2939091625","-1.996648088","-3.981242037","-3.2144846324","-3.679730682","-0.141398442","-2.2346302607","-2.6108443965"," 2.014030146","-1.966648029","-0.9930430549","-4.5431036887","-1.3995089478"," 0.952757537","-1.5314212570"," 2.280281524"," 0.763951988"," 1.764890967","-0.8378223627"," 1.2514291357"," 0.4020978120","-1.380777036"," 0.309657714"," 0.364201241"," 0.2281449544","-2.992629771","-0.262515130","-1.8201671e+00"," 1.3187235166","-6.3243145194"," 1.618057914","-2.246735034","-0.770396378"," 2.8648510e+00","-1.243771701"," 2.3661100009"," 0.962408367"," 0.98813614267","-1.66176734511"," 0.5080762345","-0.4253538160","-0.3601262295","-0.6989077706"," 0.2890773376","-1.5114349766","-1.3773811011","-0.66639979482","-0.3022203348","-0.1730091628"," 0.2137441367","-0.5626534242","-0.40436878140","-0.19930749752"," 0.6248858722"," 3.7648920e-15","normal"
"  4.9574368687"," -1.637657151","  6.90911452","  0.0493349356","  2.1270036561","  1.89080230"," -1.8746923064"," -0.6547804880"," -0.5911911062"," -0.290522365"," -3.201107024"," 0.3317372393","  0.765261590","  1.192857682"," -0.063677595","-1.305064994","  1.186203596"," -0.1445184956"," -0.354671376"," -1.698636328"," 0.7645485397","-1.090424906","-0.0622501894","  0.232347120"," 0.310040801"," -0.060070429"," -0.101564408"," -0.0661076800"," 2.279189855"," -0.3202243193","-1.366102744"," 0.0548248053"," 0.507316358","-0.702296519"," 1.696926551"," 1.112131694"," 1.069947342","-0.1409160476"," 0.673557617","-1.3517776729"," 0.078982990"," 1.5073401584","-1.233037649","-1.388681759","-0.7400979215","-2.2439019747"," 0.070928060","-0.924555044","-0.8621535358","-1.358044316"," 3.788409473"," 0.8716647430","-0.6340922092","-0.622369473"," 0.285805320"," 0.1615343386"," 0.1895009958"," 2.9888599706","-0.530279438","-0.7817891385"," 1.540974386","-1.276682043"," 0.243556713"," 2.5094330379","-0.7357125228","-2.4490828910","-1.074403570"," 3.188595057","-0.074097440","-0.7055663578"," 2.581098206","-4.256529094","-5.2028146e+00"," 4.3096704747","-0.7871528117","-1.830210821"," 1.765531266"," 2.289935362","-1.2801850e+00"," 2.909653420","-2.3741050416"," 1.280262891","-0.94229286217","-1.50441907457"," 1.1420608267"," 2.1598879831","-1.3484068899"," 1.9968807109"," 0.0804074754"," 1.5864583251","-1.5456659949","-1.39488602772"," 1.0471418390","-0.0724867713"," 0.5429965246","-0.2341135272","-0.05427841740"," 0.37351384847"," 0.2312576167","-2.4988692e-15","normal"
"  1.2605085876"," -3.590829699","  6.84532591"," -5.0396303402","  0.8460409153","  3.93155794"," -2.0162807906"," -1.3987359433","  1.2078018558"," -1.138748180","  1.191444567"," 0.4760988934","  1.511564737","  1.177750938","  0.936284122","-0.517011590"," -1.120240971"," -0.5943318598","  1.219686534","  2.453452755"," 0.4034875108","-2.348835996","-0.5886606675"," -0.616489987","-0.301828782"," -3.123617024"," -0.464537322"," -0.6402756623","-0.673786211","  2.5346621620","-2.788996944","-1.7297465845","-0.477006561"," 0.130136481"," 0.178814631","-1.164774466","-1.285606647","-0.2746303391","-1.894921085"," 0.1414766639"," 2.214237479","-2.4033716895"," 0.549857504","-1.924586762","-0.2740792000"," 1.8045141362","-2.326042481","-0.999835749","-0.0824474429"," 1.787925237"," 1.429885213"," 1.3004825413","-0.8963857503","-0.600878664","-1.692446091","-0.8954308738"," 0.9782081298"," 1.8678624153"," 1.360222366"," 0.9313701757","-0.749033145"," 2.467337970"," 2.211313258"," 3.7688556076","-0.0015341942"," 1.4820855912"," 0.789909122","-0.858047583"," 0.024600620"," 1.5102642602","-0.566707780"," 0.226965807"," 1.6876080e+00"," 2.8009109553","-1.4728118672","-2.767404232","-2.823131653"," 1.035593226","-2.7601004e+00"," 3.179511909"," 3.6472801870"," 1.253611019","-1.87249525630"," 2.10466573942"," 0.8540968778","-2.9240423284","-0.8534233333"," 0.6034426855"," 1.8527113338"," 1.4847532707"," 3.0809072191"," 1.08171954441","-0.8099110813"," 0.2181329342"," 0.2353841536","-0.1639647893"," 0.42327191488","-0.62602984952"," 0.6920196735"," 3.5978165e-15","normal"
" -0.1959243023"," -3.524738148","  4.70504736"," -9.8210891903"," -0.7996674735","  4.12498422"," -1.5279894981"," -2.2373266272","  3.9163629162"," -0.397195914","  2.558339929","-2.3910246752","  3.176910565","  1.266718575","  3.248275696"," 1.956434735","  1.050224755"," -0.6971643459","  1.922131961","  0.864488641"," 1.0791216163","-0.650273338","-1.6251169891","  0.342003744"," 0.819414067"," -0.623345406"," -0.346039893"," -0.5618923673"," 0.516862695","  0.2817835083"," 0.712268517"," 0.7000542812","-0.156321705"," 0.014128580"," 1.094068686","-0.203215188"," 0.662215066","-1.6452273548","-0.666584294"," 4.3124972517"," 1.795834082","-1.7863101292","-3.341160277"," 0.866711478","-0.0090289849"," 2.5801005128","-1.987977798","-1.142254852","-1.8888574205","-4.106162268","-0.218140659"," 0.0953969793"," 0.1237417560","-0.753191044"," 1.789818227"," 4.8511129566","-1.2453030215"," 3.9898584437"," 4.456412867","-2.6400909264","-0.875677886"," 0.257804922"," 0.594358305","-2.2131534993","-1.3009203859","-2.9498431071"," 5.520676253"," 0.452446531"," 3.134281499","-3.1637807637","-0.903318683","-1.057722235"," 1.7917147e+00","-2.5399016569","-0.0272696285","-2.617564514"," 1.904510945","-2.018051956","-8.1826846e-01","-0.782011759","-0.2247188147"," 0.468071525","-0.80239510782"," 1.66021071368"," 0.5693799529"," 2.1528095670","-0.5897444930"," 0.5402013874","-0.7100395907","-0.3118826101"," 0.3206482009"," 0.70529307634","-0.0817377675","-0.1115037462","-0.5878975759","-0.6668876020","-0.03927837219"," 0.15916187041","-0.5690838354","-1.4709371e-15","normal"
"  4.5742879577"," -2.764527383","  7.99824095","  0.4002269487","  0.3025669372","  0.56784683"," -1.1912843386"," -0.0802191472"," -0.9213337896","  0.527483592","  0.890481671","-0.0849390163","  0.151698579"," -0.702507790"," -0.208257408","-0.037972615"," -0.165639182"," -0.1390787409","  1.156638070","  1.409528572"," 0.0678050375","-1.018591633","-0.0078257056","  1.535001767"," 0.922813148"," -0.811405927"," -0.357629245","  1.3891470086"," 1.410975544","  1.0044946390","-0.500727331"," 0.2116843063","-0.731956983","-2.666237250","-0.463781025"," 0.893434324"," 1.307935858","-0.8713470480","-0.496336548"," 0.5006936177","-2.709829544","-0.0050644482","-0.514996499"," 0.929512979","-1.5630757632","-0.6857665114","-0.695357038"," 0.270700612","-2.0229482422","-0.196129188"," 1.237409801"," 1.1641528393","-1.1280845361","-0.778583681","-0.133447131","-0.6340420248"," 0.7674045928","-1.2871854868"," 1.779187959","-2.1083562553","-0.334994180"," 1.720243762"," 0.274660317"," 2.1908823684"," 1.6063320743"," 0.6837383063"," 0.313169437"," 1.095566122"," 0.420855629"," 3.3473376417"," 1.777051876"," 3.460752157","-9.4998506e-01"," 0.6967229760"," 0.6721617842"," 0.312774969","-0.630177812","-0.812096040","-2.3734581e+00","-1.192964733"," 0.3069523865"," 0.104819303","-2.06569371610"," 0.53283181596"," 2.5389689718","-1.6810860683"," 3.7767991335"," 1.5019210360","-5.9526184443","-1.2239683010","-1.5499986161"," 0.16121371309"," 1.2507185574","-0.3247722821","-1.2871695592"," 0.5578083088"," 0.30752191214"," 1.03877620117","-0.7555365963","-5.0176877e-15","normal"
