"comp","PCA"
"4.3255141e-02","PC1"
"3.5316059e-02","PC2"
"3.1617605e-02","PC3"
"2.8945456e-02","PC4"
"2.4056345e-02","PC5"
"2.2482168e-02","PC6"
"2.0333190e-02","PC7"
"1.9747446e-02","PC8"
"1.9129500e-02","PC9"
"1.8312073e-02","PC10"
"1.7761699e-02","PC11"
"1.7517672e-02","PC12"
"1.6497615e-02","PC13"
"1.5899019e-02","PC14"
"1.5256899e-02","PC15"
"1.5107513e-02","PC16"
"1.4519871e-02","PC17"
"1.4176286e-02","PC18"
"1.3779806e-02","PC19"
"1.3657147e-02","PC20"
"1.3452269e-02","PC21"
"1.3038200e-02","PC22"
"1.2722516e-02","PC23"
"1.2427558e-02","PC24"
"1.2169450e-02","PC25"
"1.2048713e-02","PC26"
"1.1564938e-02","PC27"
"1.1308323e-02","PC28"
"1.1127223e-02","PC29"
"1.0935765e-02","PC30"
"1.0893559e-02","PC31"
"1.0686115e-02","PC32"
"1.0433630e-02","PC33"
"1.0200926e-02","PC34"
"1.0130205e-02","PC35"
"1.0035129e-02","PC36"
"9.8040257e-03","PC37"
"9.7249485e-03","PC38"
"9.4200505e-03","PC39"
"9.3194861e-03","PC40"
"9.2726010e-03","PC41"
"9.1232947e-03","PC42"
"9.0825868e-03","PC43"
"8.9535879e-03","PC44"
"8.8094771e-03","PC45"
"8.6228783e-03","PC46"
"8.4895049e-03","PC47"
"8.4665875e-03","PC48"
"8.2968929e-03","PC49"
"8.2285579e-03","PC50"
"8.1916685e-03","PC51"
"7.9930838e-03","PC52"
"7.8341512e-03","PC53"
"7.7966449e-03","PC54"
"7.6226409e-03","PC55"
"7.5643874e-03","PC56"
"7.4878717e-03","PC57"
"7.3477043e-03","PC58"
"7.2772412e-03","PC59"
"7.1670682e-03","PC60"
"7.0720545e-03","PC61"
"6.9589124e-03","PC62"
"6.9320984e-03","PC63"
"6.8054039e-03","PC64"
"6.4983817e-03","PC65"
"6.4865727e-03","PC66"
"6.4357966e-03","PC67"
"6.3170507e-03","PC68"
"6.2280903e-03","PC69"
"6.0865891e-03","PC70"
"6.0585561e-03","PC71"
"5.8640364e-03","PC72"
"5.7051815e-03","PC73"
"5.5961369e-03","PC74"
"5.4354510e-03","PC75"
"5.4092054e-03","PC76"
"5.3738020e-03","PC77"
"5.2465049e-03","PC78"
"5.1611359e-03","PC79"
"5.1181553e-03","PC80"
"4.9157398e-03","PC81"
"4.8448836e-03","PC82"
"4.7663822e-03","PC83"
"4.6770132e-03","PC84"
"4.5654518e-03","PC85"
"4.5112229e-03","PC86"
"4.4597963e-03","PC87"
"4.4275315e-03","PC88"
"4.2267454e-03","PC89"
"4.1421403e-03","PC90"
"4.1047522e-03","PC91"
"3.9382875e-03","PC92"
"3.8239727e-03","PC93"
"3.6691971e-03","PC94"
"3.6012540e-03","PC95"
"3.4465301e-03","PC96"
"3.2671736e-03","PC97"
"3.0868079e-03","PC98"
"2.2960320e-03","PC99"
"1.9209141e-17","PC100"
