"comp","PCA"
"11.03749924","PC1"
" 9.77725230","PC2"
" 7.14630373","PC3"
" 6.34835702","PC4"
" 5.69669646","PC5"
" 5.35790288","PC6"
" 5.08437927","PC7"
" 4.67907264","PC8"
" 4.22802665","PC9"
" 4.12184161","PC10"
" 3.88931967","PC11"
" 3.60037578","PC12"
" 3.50498140","PC13"
" 3.49955038","PC14"
" 3.41076258","PC15"
" 3.37650975","PC16"
" 3.35694915","PC17"
" 3.26543114","PC18"
" 3.23175652","PC19"
" 3.18172781","PC20"
" 3.10695570","PC21"
" 3.06593583","PC22"
" 3.00917206","PC23"
" 2.99720468","PC24"
" 2.98742675","PC25"
" 2.87151100","PC26"
" 2.83291560","PC27"
" 2.80073759","PC28"
" 2.78214677","PC29"
" 2.71021526","PC30"
" 2.68500359","PC31"
" 2.60983055","PC32"
" 2.56218103","PC33"
" 2.45059330","PC34"
" 2.42073829","PC35"
" 2.36279265","PC36"
" 2.32816273","PC37"
" 2.29546910","PC38"
" 2.25245185","PC39"
" 2.17939916","PC40"
" 2.16100624","PC41"
" 2.12398979","PC42"
" 2.10426355","PC43"
" 2.06652887","PC44"
" 2.05702098","PC45"
" 2.02580358","PC46"
" 1.97023300","PC47"
" 1.92663580","PC48"
" 1.91040998","PC49"
" 1.88405880","PC50"
" 1.87181156","PC51"
" 1.83982429","PC52"
" 1.82292263","PC53"
" 1.79064768","PC54"
" 1.76514204","PC55"
" 1.73432714","PC56"
" 1.70049518","PC57"
" 1.68661872","PC58"
" 1.67862550","PC59"
" 1.66748496","PC60"
" 1.64889885","PC61"
" 1.62178146","PC62"
" 1.59154402","PC63"
" 1.56700027","PC64"
" 1.55035652","PC65"
" 1.52734573","PC66"
" 1.50910305","PC67"
" 1.47870682","PC68"
" 1.46031328","PC69"
" 1.45254275","PC70"
" 1.42242893","PC71"
" 1.41077523","PC72"
" 1.38828780","PC73"
" 1.38215213","PC74"
" 1.33694238","PC75"
" 1.33100994","PC76"
" 1.31820355","PC77"
" 1.30400259","PC78"
" 1.29339113","PC79"
" 1.23102208","PC80"
" 1.21373177","PC81"
" 1.21064409","PC82"
" 1.18029311","PC83"
" 1.17553658","PC84"
" 1.13030818","PC85"
" 1.08603900","PC86"
" 1.07881884","PC87"
" 1.06161689","PC88"
" 1.03807069","PC89"
" 1.02668156","PC90"
" 0.96720428","PC91"
" 0.89732941","PC92"
" 0.88853772","PC93"
" 0.84841080","PC94"
" 0.83968728","PC95"
" 0.81116968","PC96"
" 0.78050729","PC97"
" 0.77114125","PC98"
" 0.70234544","PC99"
" 0.00000000","PC100"
