"comp";"PCA"
"10.52326112";"PC1"
" 9.30882206";"PC2"
" 6.66967202";"PC3"
" 6.04307996";"PC4"
" 5.61781894";"PC5"
" 5.31737296";"PC6"
" 4.81938129";"PC7"
" 4.42205618";"PC8"
" 3.92831152";"PC9"
" 3.85395687";"PC10"
" 3.79852957";"PC11"
" 3.62515128";"PC12"
" 3.46818381";"PC13"
" 3.40626660";"PC14"
" 3.38744917";"PC15"
" 3.24815640";"PC16"
" 3.20559861";"PC17"
" 3.17097594";"PC18"
" 3.01555326";"PC19"
" 2.90618601";"PC20"
" 2.89088385";"PC21"
" 2.81811713";"PC22"
" 2.79753865";"PC23"
" 2.75954432";"PC24"
" 2.66468777";"PC25"
" 2.63361879";"PC26"
" 2.56548944";"PC27"
" 2.55699980";"PC28"
" 2.54506822";"PC29"
" 2.53276852";"PC30"
" 2.50723696";"PC31"
" 2.48667338";"PC32"
" 2.40825764";"PC33"
" 2.37838184";"PC34"
" 2.37023669";"PC35"
" 2.33575678";"PC36"
" 2.28150639";"PC37"
" 2.25039793";"PC38"
" 2.24068157";"PC39"
" 2.22136193";"PC40"
" 2.14231609";"PC41"
" 2.12045800";"PC42"
" 2.09157628";"PC43"
" 2.07780899";"PC44"
" 2.04843365";"PC45"
" 2.02704040";"PC46"
" 2.01318729";"PC47"
" 1.95957094";"PC48"
" 1.95467636";"PC49"
" 1.95377129";"PC50"
" 1.89497279";"PC51"
" 1.87924375";"PC52"
" 1.86487992";"PC53"
" 1.83497172";"PC54"
" 1.81770810";"PC55"
" 1.79443608";"PC56"
" 1.75605656";"PC57"
" 1.70875964";"PC58"
" 1.69957463";"PC59"
" 1.68339555";"PC60"
" 1.63567759";"PC61"
" 1.60710851";"PC62"
" 1.59669108";"PC63"
" 1.58241447";"PC64"
" 1.57134119";"PC65"
" 1.56732125";"PC66"
" 1.52776368";"PC67"
" 1.50503106";"PC68"
" 1.49981559";"PC69"
" 1.47258044";"PC70"
" 1.45685626";"PC71"
" 1.43447343";"PC72"
" 1.42018135";"PC73"
" 1.38991284";"PC74"
" 1.38512122";"PC75"
" 1.36719903";"PC76"
" 1.34657153";"PC77"
" 1.30333712";"PC78"
" 1.28432271";"PC79"
" 1.26856871";"PC80"
" 1.24820235";"PC81"
" 1.23306472";"PC82"
" 1.20979684";"PC83"
" 1.19590566";"PC84"
" 1.18866997";"PC85"
" 1.16997243";"PC86"
" 1.15692091";"PC87"
" 1.14285894";"PC88"
" 1.11587469";"PC89"
" 1.07388752";"PC90"
" 1.02952019";"PC91"
" 1.00992823";"PC92"
" 0.99942815";"PC93"
" 0.98286222";"PC94"
" 0.93741277";"PC95"
" 0.91724207";"PC96"
" 0.85362785";"PC97"
" 0.83907835";"PC98"
" 0.77426482";"PC99"
" 0.00000000";"PC100"
